Company,    Valuation_$Bn    ,Date_Joined,Industry,City,Country,Continent,Year Founded,    Funding_$Bn    ,Select Investors
56PINGTAI,1.00 ,1/25/2021,Supply chain,Shanghai,China,Asia,2013,0.19 ,"QF Capital, QC Capital, Unicom Innovation Venture Capital"
Alzheon,1.00 ,9/30/2020,Health,Framingham,United States,North America,2013,0.09 ,"ARCH Venture Partners, Ally Bridge Group"
Aprogen,1.00 ,5/31/2019,Health,Seongnam-Si,South Korea,Asia,2000,0.06 ,"Lindeman Asia Investment, Nichi-Iko Pharmaceutical"
Axtria,1.00 ,5/13/2021,Data management ,Berkeley Heights,United States,North America,2009,0.21 ,"Helion Venture Partners, Bain Capital Tech Opportunities, Sequoia Capital India"
Cell C,1.00 ,8/7/2017,Mobile ,Midrand,South Africa,Africa,2000,0.55 ,"Blue Label Telecoms, Net1 UEPS Technologies"
China Cloud,1.00 ,6/11/2018,Hardware,Wuxi,China,Asia,2010,0.52 ,"V Star Capital, GF Xinde Investment Management Co., Haitong Leading Capital Management"
CredAvenue,1.00 ,3/7/2022,Fintech,Chennai,India,Asia,2017,0.23 ,"Insight Partners, B Capital Group, Lightspeed Venture Partners"
DeepBlue Technology,1.00 ,4/16/2018,Artificial intelligence,Shanghai,China,Asia,2014,0.08 ,"DESUN Capital, Yunfeng Capital, Meridian Capital"
dMed Biopharmaceutical,1.00 ,7/12/2021,Health,Shanghai,China,Asia,2016,0.21 ,"Qiming Venture Partners, Vivo Capital, Sequoia Capital China"
Einride,1.00 ,12/31/2021,Auto ,Stockholm,Sweden,Europe,2016,0.15 ,"Temasek, BUILD Capital Partners, Northzone Ventures"
EQRx,1.00 ,1/11/2021,Health,Cambridge,United States,North America,2020,0.70 ,"Nextech Invest, Casdin Capital, Google Ventures"
Everly Health,1.00 ,12/3/2020,E-commerce ,Austin,United States,North America,2015,0.23 ,"Highland Capital Partners, Next Coast Ventures, SoGal Ventures"
Fair,1.00 ,12/20/2018,Auto ,Santa Monica,United States,North America,2016,2.00 ,"CreditEase Fintech Investment Fund, BMW i Ventures, SoftBank Group"
Flipboard,1.00 ,7/22/2015,Internet software ,Palo Alto,United States,North America,2010,0.21 ,"Kleiner Perkins Caufield & Byers, Comcast Ventures, Insight Partners"
Globality,1.00 ,1/22/2019,Artificial intelligence,Menlo Park,United States,North America,2015,0.31 ,SoftBank Group
Hosjoy,1.00 ,10/18/2018,E-commerce ,Nanjing,China,Asia,2009,0.14 ,"U.S.-China Green Fund, Founder H Fund, Richland Equities"
Huisuanzhang,1.00 ,5/24/2021,Fintech,Beijing,China,Asia,2015,0.23 ,"IDG Capital, Gaocheng Capital, Chuanrong Capital"
HuJiang,1.00 ,10/29/2015,Edtech,Shanghai,China,Asia,2001,0.22 ,"China Minsheng Investment, Baidu, Wanxin Media"
Hyperchain,1.00 ,4/11/2021,Fintech,Hangzhou,China,Asia,2016,0.25 ,"Yinhong Equity Investment Fund, E Fund, Ideal International"
iTutorGroup,1.00 ,11/18/2015,Edtech,Shanghai,China,Asia,1998,0.32 ,"QiMing Venture Partners, Temasek Holdings, Silverlink Capital"
JimuBox,1.00 ,4/21/2015,Fintech,Beijing,China,Asia,2013,0.13 ,"Matrix Partners China, Ventech China, Shunwei Capital Partners"
Juma Peisong,1.00 ,11/26/2018,Supply chain,Chengdu,China,Asia,2011,0.28 ,"Ding Xiang Capital, New Hope Fund, Sino-Ocean Capital"
Justworks,1.00 ,1/28/2020,Internet software ,New York,United States,North America,2012,0.14 ,"Index Ventures, Thrive Capital, Bain Capital Ventures"
Keenon Robotics,1.00 ,9/15/2021,Supply chain,Shanghai,China,Asia,2010,0.23 ,"Yunqi Partners, SoftBank Group, iVision Ventures"
Kuaigou Dache,1.00 ,7/13/2018,Supply chain,Tianjin,China,Asia,2014,0.65 ,"Sequoia Capital China, InnoVision Capital, Qianhai Fund of Funds"
LifeMiles,1.00 ,7/13/2015,Other,Bogota,Colombia,South America,2011,0.34 ,Advent International
LinkSure Network,1.00 ,1/1/2015,Mobile ,Shanghai,China,Asia,2013,0.05 ,N/A
MobiKwik,1.00 ,10/13/2021,Fintech,Gurugram,India,Asia,2009,0.25 ,"Sequoia Capital India, The Times Group, GMO VenturePartners"
Modernizing Medicine,1.00 ,5/10/2017,Health,Boca Raton,United States,North America,2010,0.39 ,"Warburg Pincus, Summit Partners, Sands Capital"
OVH,1.00 ,8/15/2016,Other,Roubaix,France,Europe,1999,1.00 ,"KKR, TowerBrook Capital Partners"
Phenom People,1.00 ,4/7/2021,Internet software ,Ambler,United States,North America,2011,0.16 ,"Sierra Ventures, AXA Venture Partners, Sigma Prime Ventures"
Pipa Coding,1.00 ,3/25/2021,Edtech,Beijing,China,Asia,2017,0.27 ,"Source Code Capital, XVC Venture Capital, Hillhouse Capital Management"
Qingting FM,1.00 ,6/2/2021,Internet software ,Shanghai,China,Asia,2011,0.16 ,"China Culture Industrial Investment Fund, We Capital, China Minsheng Investment Group"
Rad Power Bikes,1.00 ,10/28/2021,Auto ,Seattle,United States,North America,2007,0.30 ,"Durable Capital Partners, Cercano Management, T. Rowe Price"
Shukun Technology,1.00 ,8/16/2021,Artificial Intelligence,Beijing,China,Asia,2017,0.21 ,"Marathon Venture Partners, Huagai Capital, China Creation Ventures"
Shulan Health,1.00 ,3/1/2021,Health,Hangzhou,China,Asia,2015,0.04 ,Qiming Venture Partners
SITECH DEV,1.00 ,5/16/2019,Other,Guiyang,China,Asia,2017,0.23 ,China Prosperity Capital
Snapdeal,1.00 ,5/21/2014,E-commerce ,New Delhi,India,Asia,2008,2.00 ,"SoftBankGroup, Blackrock, Alibaba Group"
SumUp,1.00 ,7/16/2019,Fintech,London,United Kingdom,Europe,2011,1.00 ,"American Express Ventures, Goldman Sachs, Bain Capital Credit"
TalkingData,1.00 ,1/6/2021,Mobile ,Beijing,China,Asia,2013,0.31 ,"N5 Capital, CR Capital Mgmt, JD Digits"
TUNGEE,1.00 ,12/15/2021,Artificial Intelligence,Guangzhou,China,Asia,2016,0.17 ,"UNITY VENTURES, Qiming Venture Partners, GGV Capital"
UISEE Technology,1.00 ,1/25/2021,Supply chain,Beijing,China,Asia,2016,0.15 ,"Shenzhen Capital Group, Robert Bosch Venture Capital, SeptWolves Ventures"
Valgen Medtech,1.00 ,5/6/2021,Health,Hangzhou,China,Asia,2015,0.19 ,"Sequoia Capital China, China Life Investment Holding Company, Qiming Venture Partners"
Vectra Networks,1.00 ,4/29/2021,Artificial intelligence,San Jose,United States,North America,2011,0.35 ,"IA Ventures, Khosla Ventures, AME Cloud Ventures"
Venafi,1.00 ,12/10/2020,Cybersecurity,Salt Lake City,United States,North America,2000,0.17 ,"Pelion Venture Partners, Foundation Capital, Thoma Bravo"
Wacai,1.00 ,7/18/2018,Mobile ,Hangzhou,China,Asia,2009,0.37 ,"Qiming Venture Partners, China Broadband Capital, CDH Investments"
WeBull,1.00 ,2/18/2021,Fintech,Changsha,China,Asia,2016,0.23 ,"Bojiang Capital, Hongdao Capital, Mobai Capital"
WTOIP,1.00 ,4/8/2018,Internet software ,Guangzhou,China,Asia,2013,0.31 ,"Dark Horse Technology Group, Hopu Investment Management, Kefa Capital"
Xiaobing,1.00 ,7/12/2021,Fintech,Beijing,China,Asia,2020,0.26 ,"NetEase Capital, Northern Light Venture Capital, Microsoft"
Xiaoe Tech,1.00 ,6/15/2021,Internet software ,Shenzhen,China,Asia,2015,0.15 ,"GGV Capital, Hillhouse Capital Management, IDG Capital"
Yiguo,1.00 ,11/9/2016,Supply chain,Shanghai,China,Asia,2005,0.80 ,"Alibaba Group, KKR, Goldman Sachs"
Yimidida,1.00 ,1/14/2019,Supply chain,Shanghai,China,Asia,2015,0.55 ,"Source Code Capital, Global Logistic Properties, K2VC"
Yipin Shengxian,1.00 ,3/11/2019,E-commerce ,Hefei,China,Asia,2017,0.66 ,"Eastern Bell Capital, Capital Today, Longzhu Capital"
Ynsect,1.00 ,2/21/2019,Other,Evry,France,Europe,2011,0.40 ,"Astanor Ventures, Upfront Ventures, IDInvest Partners"
Hello TransTech,1.00 ,6/1/2018,Auto ,Shanghai,China,Asia,2016,2.00 ,"Ant Financial Services Group, GGV Capital"
Miaoshou Doctor,1.00 ,6/27/2019,E-commerce ,Beijing,China,Asia,2015,0.95 ,"Sequoia Capital China, Qiming Venture Partners, Tencent Holdings"
ECARX,1.00 ,10/26/2020,Auto ,Wuhan,China,Asia,2016,0.39 ,"Geely, SIG Asia Investments, China State Capital Venture Capital Fund"
Eat Just,1.00 ,11/30/2017,Consumer ,San Francisco,United States,North America,2011,0.44 ,"Khosla Ventures, Horizons Ventures, Founders Fund"
Trumid,1.00 ,7/15/2020,Fintech,New York,United States,North America,2014,0.66 ,"T. Rowe Price, Dragoneer Investment Group, BlackRock"
Qualia,1.00 ,12/21/2020,Fintech,San Francisco,United States,North America,2015,0.16 ,"8VC, Menlo Ventures, Tiger Global Management"
Beisen,1.00 ,5/11/2021,Internet software ,Beijing,China,Asia,2002,0.39 ,"Matrix Partners China, Sequoia Capital China, Genesis Capital"
Earnix,1.00 ,2/21/2021,Fintech,Giv'atayim,Israel,Asia,2001,0.10 ,"Jerusalem Venture Partners, Israel Growth Partners, Insight Partners"
Kujiale,1.00 ,10/25/2019,Internet software ,Hangzhou,China,Asia,2011,0.24 ,"GGV Capital, IDG Capital, Linear Venture"
Orca Security,1.00 ,3/23/2021,Cybersecurity,Portland,United States,North America,2019,0.63 ,"YL Ventures, Redpoint Ventures, GGV Capital"
Apus Group,1.00 ,1/16/2015,Mobile ,Beijing,China,Asia,2014,0.12 ,"Redpoint Ventures, QiMing Venture Partners, Chengwei Capital"
Forte Labs,1.00 ,5/12/2021,Fintech,San Francisco,United States,North America,2018,0.91 ,"Iris Capital, Accel, Elaia Partners"
CureFit,1.00 ,11/10/2021,Health,Bengaluru,India,Asia,2016,0.67 ,"Chiratae Ventures, Accel, Kalaari Capital"
DT Dream,1.00 ,6/8/2017,Data management ,Hangzhou,China,Asia,2015,0.27 ,"Alibaba Group, China Everbright Investment Management, Yinxinggu Capital"
fabric,1.00 ,2/24/2022,E-commerce ,Bellevue,United States,North America,2017,0.29 ,"Redpoint Ventures, Norwest Venture Partners, Sierra Ventures"
JOLLY Information Technology,1.00 ,5/29/2018,E-commerce ,Hangzhou,China,Asia,2008,0.10 ,"Legend Capital, CDH Investments, Sequoia Capital China"
K Health,1.00 ,1/19/2021,Health,New York,United States,North America,2016,0.27 ,"Max Ventures, Mangrove Capital Partners, 14W"
Mofang Living,1.00 ,4/13/2016,E-commerce ,Shanghai,China,Asia,2009,0.65 ,"Warburg Pincus, Aviation Industry Corporation of China"
Spendesk,1.00 ,1/18/2022,Fintech,Paris,France,Europe,2015,0.31 ,"Index Ventures, Eight Roads Ventures, General Atlantic"
TaxBit,1.00 ,8/4/2021,Fintech,Draper,United States,North America,2018,0.24 ,"Insight Partners, Coinbase Ventures, PayPal Ventures"
XiaoZhu,1.00 ,11/1/2017,Travel,Beijing,China,Asia,2012,0.57 ,"Morningside Ventures, Capital Today, JOY Capital"
Yijiupi,1.00 ,9/20/2018,Consumer ,Beijing,China,Asia,2014,0.51 ,"Source Code Capital, Meituan Dianping, Tencent Holdings"
YunQuNa,1.00 ,6/29/2021,Supply chain,Shanghai,China,Asia,2015,0.21 ,"Source Code Capital, Coatue Management, DCM Ventures"
Bordrin Motors,1.00 ,6/3/2019,Auto ,Shanghai,China,Asia,2016,0.36 ,"China Grand Prosperity Investment, CSC Group"
Aleo,1.00 ,2/7/2022,Cybersecurity,San Francisco,United States,North America,2019,0.23 ,"Slow Ventures, Andreessen Horowitz, SoftBank Group"
Coocaa,1.00 ,3/16/2018,Hardware,Shenzhen,China,Asia,2006,0.22 ,"Baidu, Tencent Holdings"
